,locucion_c
0,¿Y por qué tienes un bebé?
1,"Cielo santo, sí. Me encantaría ser el entrenador del equipo de sarcasmo bol"
2,"Si nos pasa algo a los dos, ¿quién se hará cargo de la niña?"
3,"Stanley, solo busca tus cosas y nos vamos a casa"
4,"Ah, sí esto podría funcionar"
5,Más de la de la terraza
6,Quería toda su atención
7,¿Solo Bourbon?
8,"No conozco a tal Lana, pero"
9,Porque pusiste en peligro su misión
10,"Iba a decir, era dos de dos chicos"
11,"¿En serio? ¿Cree que hay una relación entre el sarcasmo y el sarcasmo bol de verdad? ¡Qué fascinante, continúe por favor!"
12,Esta corbata cuesta seis mil dólares
13,Yo qué sé que en la miente. Y ya ha venido un tal señor Ley para verla
14,"Hola, chicos"
15,¿Ya la cerramos con llave?
16,¿Cómo que está vacía?
17,"No se parece nada a su perfil con todo lo que se cuenta del caballero que es, pero le digo una cosa, Barak lo entiende"
18,¿Mi?
19,¿Qué? Eso le costó a mi abuelo seis mil dólares. Los diamantes son auténticos
20,¿Eso qué es?
21,"Sí, se lo dije, estuve mirándolo todo el día"
22,"¿Y Cheryl, qué?"
23,"Sería dejarle ciego, pobrecito"
24,"Ah, vale"
25,¿Puedo decirle una cosa antes de que me mate a golpes?
26,Yo no te jodo
27,"Lo lamentamos Stanley, no queremos que sigas jugando a este deporte"
28,"No, no, no, claro que no"
29,"¿Qué te importa, Lana?"
30,"Brandy, algo te ha ocurrido. ¿No puedes dejar de ser sarcástico?"
31,"Sí, pues claro"
32,"¡Vamos, Broncos, vamos!"
33,"¿Y creemos que North va a llevarse la victoria solo porque son más amables que nosotros? La amabilidad, la llevamos adentro. Cuando el enemigo sea amable, nosotros le devolvemos la amabilidad. Si nos dan dos calvos, les damos tres."
34,"Sí, pero "
35,"No, no, usted me jode. ¡Al carajo!"
36,Así que tenemos que ir a la armería
37,Bueno vale
38,¿Oh?
39,Intentan joderme con su negocio paralelo
40,¿Qué?
41,Ya y
42,"¿Cómo se soluciona, doctor?"
43,"Son nuevos tiempos, una nueva era de ciencia que solo pocos comprendemos"
44,"Bueno, papá, fue un placer volver a verte. Nos quedaríamos a cenar, pero esta comida le provoca diarrea a Sharon"
45,"¿Juegas duro? ¿Necesitas una bebida deportiva que te dé más energía? Los deportes de hoy son para gente amable, así que mejora tu desempeño con jugo cremoso de Cutters. Estarás lleno de buenos sentimientos y serás más gentil que un rayo de sol"
46,"Cuando estoy agotado, es el único que me hace subir la compasión. Ahora de vuelta al campo"
47,¿Qué haces Ley?
48,¿Qué?
49,"Para tu información Civil, no necesito ayuda con AJ porque"
50,No quiero que bebas nada
51,"¿Espera, qué?"
52,Deberíamos echar un ojo
53,Espero no tener que llegar hasta eso
54,"Y oye, llámame si no te va bien con la cría"
55,"¡Tu puta madre, me has disparado!"
56,Y por venganza. ¿Te acuerdas cómo me arrancaste la mano?
57,"Oye, nos vamos en cinco minutos"
58,"Ay, madre, muy bueno, por un momento me lo he tragado"
59,"¡Sí, vamos a hablar de confianza!"
60,"¿Espera, hablas urdu?"
61,"¡Ah, miren eso! Una corbata de cordón. ¿No es hermosa, Stan?"
62,¿Eso cuesta tanto?
63,Bueno
64,"Protesto por el término canguro, porque claramente no soy un bebé"
65,Pásalo bien y saluda a tu vida animal
66,He tenido un bebé
67,"Espera, literalmente no, pero muchas"
68,Eso también
69,"No, amigo, es genial"
70,Qué buen golpe. Recuérdenlo en la práctica mañana
71,No me parece el momento para hablar de eso
72,"Bueno, puede… Aunque tiene mala pinta"
73,Archero
74,"Yo qué sé, digo yo qué será"
75,¿Feliz? ¡Contentísimo! Mire lo mucho que mejoró esto
76,No sé qué puedo hacer. Los niños comienzan a burlarse de mí porque no soy bueno en sarcasmo bol. Soy malo siendo gentil. Soy tan malo que pareció una gorda en bikini floreciente en la playa
77,Disculpe
78,"Tengo el globo, el entrenador Marso. ¿Ahora qué hago?"
79,Y creo que llevaré esa
80,Solo intento irme sin ser descortés
81,"Pero, podrías haber conseguido el disco tú solo. ¿Para qué nos has hecho venir?"
82,"Verás cómo... Joder tengo que pasarlo con algo. ¿Has visto AJ? Ha sido una lección sobre algo llamado seguridad de uno mismo. Y al contrario de que te hayan dicho, nunca es de más. Y el burlón. ¿Dónde está el burlón?"
83,"Fue regalo de mi abuelo, sí, y le costó mucho dinero"
84,Ronde?
85,"No estamos ganando mucho, amigos"
86,¿Verdad?
87,¡Boom! ¿Vieron ese golpe?
88,"Ah, papá, oye papá. "
89,No collar de oro con diamantes
90,"¡Sí por los oídos, cállate!"
91,"Porque tengo que herir tus sentimientos, si me pasa algo, y solo a mí Archero, AJ viviría con mis padres"
92,"Bueno, ¿qué tal? ¿Cómo te va?"
93,Sí
94,De las diez dobles
95,Chúpamela
96,¿No está preocupada?
97,"Bueno, no estoy jodiéndola y lo sabe"
98,"¡Sí, soy fanático de todas tus temas de moda!"
99,"Bueno, idiotas. Gracias por ayudarme a pillar el disco. Los rusos me van a dar una pasta ancha por él"
100,"Momento, momento, Sow. ¿Qué mierda es esa?"
101,Lo robó todo. Se estableció en Europa como traficante de armas
102,Quería saber si podía fiarme que te quedarás de AJ tú solo
103,"¿Ya vale, pero las lleva encima? ¿Lleva pipa?"
104,"Vuelvo mañana por la noche, ya verás como me llamarás antes"
105,"¡Moho! ¡Vamos Broncos, vamos! ¡Qué alegría de mierda!"
106,"Ya, a su edad no sé ni para qué se molesta"
107,"Sí, tú sí que has perdido peso Cuenta Sterne o cómo te llames en realidad"
108,"Sí Stan, es lo que quiere la gente. No te preocupes, luces genial."
109,"Sí, no queremos que los niños se lastimen jugando al futbol. Pero creo que tengo un modo de mejorarlo más. ¿Por qué los jugadores no usan sostenes?"
110,"Que, es todo para ella"
111,¿De qué estás hablando?
112,¡Eso no! AJ si nos pasa algo
113,Este sujeto intenta timarnos podemos ir a otro lado
114,"Bueno, no se los pago"
115,"Bien, tengo una idea aún mejor. Tomemos los fondos de investigación de cáncer y enfermedades genéticas, y hagamos comerciales que digan: 'hola, espectadores, quizás el sarcasmo no es algo muy bueno para tu cerebro'."
116,Me busco a una canguro
117,"Archero, no te"
118,No
119,"Y ahora para interpretar el himno del sarcasmo bol, el cantante Ciclo"
120,"Cutters, son sentimientos felices, pero no hablemos de ellos"
121,Y yo
122,¿Soy idiota por saber matemática?
123,Yo
124,¿Así?
125,"Lo del canadiense. Por favor, como que vosotros no os tiraríais allí si pudieseis"
126,Dónde cojones está el botiquín
127,"¿Esto no es robado, verdad?"
128,¿Por qué? ¿Por qué fui yo quien le arrancó la mano a Cuenta?
129,¿Seis mil?
130,"Hola, amo el sarcasmo bol como todo el mundo. Pero a veces es tan emocionante que necesito energía extra para terminar de ver un juego. Allí es cuando busco una botella de este jugo cremoso de Cutters."
131,Vale
132,Callados y esperad a mi señal
133,"Oh, lo siento, perdón"
134,Sí en el sueño improbable en el 23 de Lexington...
135,Fue violencia normal
136,Pero cuesta cincuenta mil. Lo dijeron en el canal de ventas de joyas
137,"Papá, ¿es necesario usar sostenes?"
138,¿Y qué haces en la ventana?
139,"Paz, la niña"
140,"Sí, somos tus padres, no podemos decirte qué hacer"
141,¿Lo dices en serio?
142,Gracias
143,¿Te sientes cálido y compasivo?
144,"¿En serio? ¡A cubierto! ¡Vamos, Civil!"
145,¡Joder!
146,"Recargando, no sé para qué lo digo en voz alta"
147,"No, pero cuando descubra cómo criar de tejido un oso de verdad para cubrirlo"
148,No te jodemos a ti. Ellos están jodiendo al abuelo de Stan
149,"¿Crees que lo hay, torpe?"
150,"Oye, Cutters. ¿Tienes un minuto?"
151,Pues si no vamos a jugar al póquer
152,"Ya, me he pasado"
153,"Un momento, un momento, por favor. Tengo un regalo para mi nieto. Ven aquí, Villi. Como has crecido, Villi, es hora de que tengas algo costoso y llamativo para impresionar a las muchachas "
154,¿La guardas toda?
155,"Vale, caray, ¿crees que en caso de fallecer serías la tutora legal de AJ?"
156,"¿Ah, ya, así que tiene armas aquí?"
157,"Primero, lo del mes pasado no fue violencia homófoba"
158,¿Un burrito de seis capas?
159,"Toma ya, actos se estudian"
160,Sí
161,"""Que se pasó por fuera de mi tienda y dijo:""""una señora asiática me encantará joderla"""". Un goleador de mujeres asiáticas"""
162,Tiene un sabor a humo y también a cloro
163,Hablemos de esto luego
164,Para que te controles
165,El archivo está en el servidor principal de el servicio secreto de la inteligencia argentino
166,"Parece como si estuviera buscando sus llaves, Dan"
167,Bien hecho niño
168,"¡Vuélvete a Canadá, Ben Jonson!"
169,"Gracias, comisionado. Me emociona formar parte de todo esto, gracias"
170,Como... Me llamo Vivian
171,Verdad
172,¿Qué?
173,Decías algo acerca de un plan
174,"Sí, soy igualito que Cristi con un huequecito de Claudia"
175,"Sí claro, ahora no puedo dejar el sarcasmo"
176,Ya lo sé
177,Ni siquiera entendemos cómo se juega este juego
178,¡A qué majo!
179,"Vale ya Sterling, algo habrías hecho, estoy segura. Pero ahora tienes la ocasión de enmendarlo, algo que no es muy frecuente"
180,No recuerdo si debemos abrazar el defensor o decirle algo lindo. Estoy confundido
181,tiene
182,"¿Y mientras sacamos AJ de aquí, tú qué vas a hacer?"
183,¿Qué haces?
184,¿Quince dólares?
185,"Perdón, se llama operación QUEDE"
186,"¡Ay, sí!"
187,"Te he oído, pero no pienso mover hasta que te lo pongas"
188,"Ya dije mi preocupación, sí. Les advierto que ser así de sarcástico es peligroso"
189,"Ya sabes. Intenta llegar a la zona de notación, pero con mucha amabilidad"
190,Esto es bueno. Qué bueno que hayan venido en cantidades enormes para mostrar su apoyo al sarcasmo bol
191,Perdón
192,Mentía. Es mi verdadero nombre
193,¿Y a los alumnos les gustará eso?
194,"Muchachos, escuchen, olvídense del día libre. Tenemos que practicar mañana"
195,Pues lo has portado imbécil. ¿Cuánto se ha dado Lana por dispararme?
196,"Oye, tú no eres mi jefe"
197,"Mierda, es un maldito multicampo"
198,"Siguiente producto es número 4568111. Miren estos imponentes aretes. Estos son aretes de fax genuinos. Oro de catorce quilates, sátiros fax de ochenta y seis quilates. Fax es una palabra francesa, tiene una x, pero la x ni siquiera se pronuncia. ¿No les parece prestigioso? Estos aretes cuestan seis millones de dólares. Pero hoy los vendemos por tres cientos veinte dólares. Es un regalo, los teléfonos comienzan a iluminarse, creo que tenemos un comprador, hay un comprador. Sí pongámoslo en la línea. ¿Con quién tengo el gusto de hablar?"
199,"Oh, de acuerdo, aquí tienen"
200,"Llévanos al garage, tío"
201,"Como verá, quiero evitar los intermediarios. Quiero comprarles sus joyas directamente a ustedes para... ¡Hijos de puta!"
202,"Vamos, ábrelo, Stan"
203,Es una yurta
204,Todo tiene su lógica
205,¡Madre mía!
206,"Benny, di a Cartean que se calle"
207,Cómprenlo y tomen el jugo
208,Pues vas mal
209,Debo proteger a la niña
210,"No, no, el sarcasmo bol no tiene nada que ver, yo solo, solo estoy disfrutando mucho del sarcasmo y debo buscar excusas"
211,"Cutters, tú entiendes este juego mejor que nadie"
212,Jackson se detuvo a las 45 y se levanta lentamente 
213,"Venga, pues tan cabrones violadores de cabras a pelo y sin comodines"
214,"""Y te quedarás en tu habitación pensando lo que acabas de hacer. Solo porque la gente quiera que el futbol sea más seguro modificando una regla, no significa que puedas pensar: """"Oh, ¿por qué no nos bebemos nuestros espermas?"""" Un sarcasmo así es homofóbico, chovinista y completamente inmaduro. ¿Alguna pregunta?"""
215,"Su identificación, coronel, por favor"
216,"¿Eh sí? Perdón, es que me preocupa haber usado mal la palabra literalmente toda mi vida"
217,"Oro de catorce quilates, diamantes y turquesa. Te doy quince dólares."
218,"Más quisiera, digo no, no. Estaba haciendo un estado de mercado para TB-800 alias siderocito de peluche"
219,"¿Antes de que me dispares, puedo decirte una cosa?"
220,"¿Muchachos, por qué no posan para una maldita foto que quedará en la memoria del deporte?"
221,"Eh idiota, que soy paquistaní"
222,"Lo invito lamernos las pelotas, señor"
223,Ni siquiera hacen un burrito de seis capas
224,Nada hasta que consultemos la cuija
225,"Creo que sufro una conmoción. El infierno no conoce irá, ¿eh?"
226,¡Está vacía!
227,¡Jolín!
228,Deje de decir eso
229,"El jugo cremoso de Cutters está lleno de todo lo que un atleta necesita: compromiso, compasión y camaradería. Y también viene envase de cuarto litro"
230,"Sí, todos deberían usar sostenes. Y en vez de cascos, sombreros de papel aluminio, porque estamos en el futuro y no deberíamos ser tan bárbaros"
231,Eso ya pensaba
232,Esto es esperma
233,Esperé que...
234,Solo a la gente niñera
235,"Sí, Jackson recibe un golpe real, y no estoy seguro de lo que hace ahora, pero"
236,"No, yo no tengo esa que te llevas dentro, Cutters."
237,"Y en la escuela no hacemos las jugadas, ya que son peligrosas"
238,"Vale, pues, lo veo, pero el espía tiene un arma. Creo que está robando al señor Archero"
239,"Los llamo freelance, sí cállate, haz el favor. El caso es que hay que sacarlo de la capital de Argentina"
240,Oro de catorce quilates con una turquesa y diamantes reales
241,¿En serio?
242,"Por Dios, te tienes que relajar. ¿Oh ah? ¿Y no hay cerveza?"
243,¿Qué? ¿Has terminado de caracterizar?
244,"Oh, mira qué eres. Hora de la siesta, tengo una reunión, adiós"
245,"Oh, siento, lo siento. Todos tenemos un relleno cremoso, Eric. Y muchos tenemos tantos sentimientos que de vez en cuanto se escapan. Muchas veces que estoy durmiendo, y en especial, si estoy teniendo sueños hermosos que me hacen sentir bien. A veces me despierto y cuando lo hago, me doy cuenta de que mi cremosidad se salió. Y, Dios, esta vez fue mucho. Pero siempre me aseguro guardarla por si me quedo sin mis sentimientos de felicidad"
246,"Está aquí, unas veces se rebalsa"
247,"Gracias, Jim, porque esa siempre fue mi intención desde que se me ocurrió la idea, sabía que iba a terminarse de este modo"
248,¿No le importa lo que estoy haciendo con su servidor?
249,"Algún día le gustarán, le gustarán mucho. Ella es una beba todavía. "
250,¿Qué Brandy?
251,Esto a… ¿Vuelvo en otro rato?
252,Vale
253,Esto no se ve todos los días
254,Se producen en el cuarto de baño
255,"Qué bien que has hecho té. Porque me vendría bien uno con miel y limón. Y con Bourbon, pero aún mejor sin miel y limón ni té"
256,"Porque tiempo es crucial, asta ayer Barak era un caber espía de la inteligencia paquistaní. Pero ahora queré pasarse a nuestro bando"
257,"Gracias, Jim"
258,No creo que pueda romper nada
259,"Sí, supongo que sí. Bien abuelo, quería entregarte un regalo"
260,¡Perfecto!
261,"""¿La única frase que sabes en urdu es""""no jodas cabrón violador de cabras""""?"""
262,Aun así mentiste cuando me dijiste que no ibas a beber
263,"¿Qué es lo que dices, Gusto? Dios mío. ¿Quieres decir?"
264,No pueden decirme qué hacer
265,"Linda corbata, Stan"
266,Coronel
267,"Ah, en fin, lo han descubierto. La inteligencia Argentina va por él y hay que sacarlo de allí cagando leches"
268,"Cállate, no te fastidies, te iba a llamar"
269,"Sí, papá, bebé un poco de esto"
270,"No puedo, no tengo la información"
271,"Bienvenido, bienvenido a la tienda de respeto"
272,"Bueno, saltar, llevo paracaídas"
273,Por Cheryl
274,¿Y por qué me cuentas esto?
275,Seis mil dólares
276,"Sí. ¿Puedo empezar, yo? ¿Os importa si empiezo yo? Tú estás como una puta cabra"
277,El entrenador Bellini dijo: 'No podemos derrotar a los Broncos. Este entrenador les duró casi un día'
278,Y yo. Pagar por pasar veinticuatro horas en una yurta es sin duda la tontería más grande que has hecho
279,Por no decir robotizado. ¿De dónde coño has sacado una mano biónica?
280,No
281,Con la amenaza implicaré que te dispararé a los genitales. Y luego me sentaré a beber jerez amontillado mientras que te desangras
282,"Te necesitamos, Cutters. Eres el indicado"
283,Papá
284,¿Qué tal dejarle terminar?
285,tenía
286,¿Cómo ayudarían los sostenes y sombreros de papel?
287,¿Slate?
